Run,average_steps_to_goal,average_rewards,collision_count,success_rate,min_rewards,max_rewards,avg_negative_rewards,avg_successful_steps
1,101.47,-141.84299999999993,64,0.36,-662.3000000000011,95.3,-153.0449999999999,113.36111111111111
1,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
2,108.17,-159.4089999999998,69,0.31,-548.6000000000003,95.4,-169.21999999999983,92.35483870967742
2,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
3,98.35,-152.32299999999987,71,0.29,-634.2000000000013,94.3,-161.73899999999986,94.37931034482759
3,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
4,87.5,-145.99499999999995,74,0.26,-491.09999999999974,95.4,-155.58799999999988,98.26923076923077
4,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
5,76.17,-129.18599999999992,72,0.28,-533.2,95.3,-138.01399999999992,91.39285714285714
5,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
6,98.22,-150.32999999999998,70,0.3,-873.2000000000071,95.3,-161.87199999999996,91.43333333333334
6,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
7,85.8,-146.1089999999999,75,0.25,-562.7999999999998,92.0,-154.00899999999987,96.0
7,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
8,85.84,-133.97099999999986,69,0.31,-571.0999999999999,95.3,-146.13999999999984,66.54838709677419
8,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
9,81.58,-139.2529999999999,74,0.26,-552.9999999999998,94.3,-150.43899999999988,97.88461538461539
9,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
10,92.55,-143.8479999999999,70,0.3,-704.4000000000028,95.4,-154.57199999999992,93.03333333333333
10,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0
11,95.36,-136.86499999999987,65,0.35,-558.8999999999997,93.3,-149.35899999999984,98.28571428571429
11,8.0,92.19999999999999,0,1.0,92.2,92.2,0.0,8.0
12,87.75,-142.1659999999999,72,0.28,-510.2000000000001,90.2,-149.5969999999999,100.03571428571429
12,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
13,95.17,-134.52299999999997,64,0.36,-624.8000000000048,93.3,-146.14299999999994,111.38888888888889
13,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
14,84.22,-132.2429999999999,69,0.31,-475.6999999999997,95.3,-144.67899999999992,69.06451612903226
14,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
15,91.95,-154.93999999999997,76,0.24,-696.9000000000019,94.3,-163.87799999999996,76.16666666666667
15,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
16,106.54,-153.56999999999982,67,0.33,-665.2000000000015,95.3,-165.73499999999981,105.45454545454545
16,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
17,85.75,-149.90699999999995,77,0.23,-813.3000000000053,95.3,-158.64099999999993,76.65217391304348
17,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
18,92.67,-137.62499999999991,67,0.33,-772.6000000000046,93.2,-149.72899999999993,93.84848484848484
18,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
19,91.29,-140.23199999999989,69,0.31,-594.5000000000002,90.0,-151.17699999999994,85.16129032258064
19,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0
20,103.21,-145.78799999999984,65,0.35,-736.2000000000031,93.2,-158.42099999999985,106.71428571428571
20,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
21,99.1,-166.99799999999996,78,0.22,-839.0000000000056,92.3,-175.71399999999997,86.5
21,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
22,92.44,-143.5949999999999,70,0.3,-664.1000000000015,94.4,-155.16499999999988,82.36666666666666
22,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0
23,89.05,-141.64900000000003,71,0.29,-640.2000000000071,83.30000000000001,-150.51,114.13793103448276
23,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
24,88.1,-132.52599999999993,67,0.33,-512.7999999999997,95.4,-142.5429999999999,103.81818181818181
24,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0
25,91.83,-144.91499999999985,71,0.29,-530.2,95.3,-154.8349999999998,108.37931034482759
25,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0
26,96.89,-132.58100000000005,62,0.38,-957.2000000000095,95.3,-145.73700000000002,90.6842105263158
26,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0
27,90.32,-135.21899999999988,67,0.33,-549.1999999999998,91.2,-144.0629999999999,102.9090909090909
27,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
28,74.2,-132.96999999999997,75,0.25,-507.6999999999998,92.3,-141.74299999999997,79.92
28,8.0,92.10000000000016,0,1.0,92.1,92.1,0.0,8.0
29,77.6,-136.7659999999999,75,0.25,-435.29999999999933,93.3,-144.09899999999993,102.6
29,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
30,82.8,-122.64099999999988,65,0.35,-617.4000000000008,95.3,-132.9949999999999,101.57142857142857
30,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0
