Run,average_steps_to_goal,average_rewards,collision_count,success_rate,min_rewards,max_rewards,avg_negative_rewards,avg_successful_steps,max_penalty_episodes,average_time_to_goal
1,108.69,-139.82299999999995,59,0.41,-539.3,90.0,-150.72899999999993,115.26829268292683,0,0
1,5.0,95.39999999999982,0,1.0,95.4,95.4,0.0,5.0,0,0
2,115.6,-167.64299999999992,69,0.31,-774.9000000000041,93.3,-175.03599999999994,106.3225806451613,0,0
2,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0,0,0
3,95.8,-137.5259999999999,65,0.35,-622.9999999999997,93.3,-151.35899999999995,81.71428571428571,0,0
3,7.0,93.19999999999999,0,1.0,93.2,93.2,0.0,7.0,0,0
4,91.78,-134.7349999999999,66,0.34,-507.09999999999997,95.3,-148.25799999999987,74.79411764705883,0,0
4,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0,0,0
5,85.93,-126.07399999999993,65,0.35,-626.0000000000009,94.3,-141.53699999999992,85.31428571428572,0,0
5,5.0,95.3,0,1.0,95.3,95.3,0.0,5.0,0,0
